judge id,R_3MMV16tlEg5mPfo,R_10xfP6qQsG4YJ0B,R_1LNLUNmSgGtujIX,R_1mjUwPisBSab6Xx,R_9nwYBZmXorKUCD7,R_1pKwOZvPuBJolUg,R_9mfyLzqmQ7qXvZD,R_1H6OdPefE3ubEH4,R_3k6UYN56Ox3HOHY,R_1PRX7GjClvimkop,R_1jV9oNnBUT88oqi,R_2AExqzshzf3qC1F,R_2SpZ8EiRsUy9WOo,R_s4NG5GTzEZ8bx7j,R_ah521l1C2cfrbBn,R_2dFOG2fjssFaDlE,R_3JgXb2y6z5myWXc,R_2OI33dIQHCetQ0w,R_3p4ozs26mLTtS3u,R_3kcRtjs7Hnbx0X1,R_1Ln6I4PLDl3mddQ,R_1n7q8PNfmcYOloJ,R_ueLTNgngOxNqUo1,R_2VsjcnmX7eJTrF7,R_29tPTrsVJRd0WrY,R_2pLVHP7JYn4kpzJ,R_1P7ZgvgYG5696sg,R_31c7lJBBpBCe9ty,R_1QMg77KJWZrm1zP,R_1P0Fcu2jhVDwoTu,R_sYkyU1G1zUumWJj,R_21HvIc7qlSX11ZM,R_2YJQ5wjXFH7CR00,R_1dd9HbiNuiisl2g,R_1jUqFwzdkkBc41C,R_2xRcNtQm4xteO81,R_AB9p5276nWIr3MZ,R_2V3g6b2AtJYS808,R_VUVAOFX7yeE6ryp,R_XMIGl4PTMKC9LUJ,R_2t8MIvu2t2dsdVv,R_3qO5lNRyIBHOTag,R_1FKVWTrGOsew0eo,R_0qXSyQfoqqn4wGl,R_31M1qBjJC08C8Xu,R_3FV89BXpkghpNyE,R_2pY6s13N4pylG4l
R_1kHYPQ4eYM6GL57,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,
R_3D8eeW4g7GIDcZI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
R_3JLzIuVlOVexBGt,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
R_1kOcQfsuIMo9k2u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QykpZxmA0aT3d8,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3D60VjC4WTKYczG,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_VU7Lb4Fiqa8zGoN,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3r2IXneTMK5n0Ci,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
R_2rQOdbpMke5JZ97,,,,,,0.0,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2WPeMAJGFEzzmgm,,,,,,,0.0,0.0,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_qVmiVRWiX1daU5r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
