judge id,R_1FKugNv4X226c4D,R_2QMNyq5txUsv9K8,R_26m6UiXHcCsj8WD,R_31cQynw7ijFfY5H,R_3D0lo7gQevr6aPB,R_1DO2CdUFbRU5Lm9,R_9MK0yGmMyvRnofn,R_bpSl9UQAeht0GHf,R_3shU3hGqUO9PJ0x,R_1isVrfIwQiB0w0C,R_2DP9r8DDq8rvgmN,R_qJBa68ifKGmKRwd,R_6WLX42XY5FGQGDn,R_29mMkji2Wnfxn1g,R_2QSd70cu3D9qgt2,R_6FfIbNoFM3xacSJ,R_C9O5ID069heJeHn,R_9t4F3K7VrtOzD0d,R_22mnvmksG5DApzR,R_1FeSKtG5EfWqgeZ,R_6qToDVshodf04ed,R_24k0lyzr8tVWtbG,R_2AXrYLGWgR9kQgy,R_3NUKPoeqgj36WGQ,R_Z8CZ98s88RNc2WJ,R_2VHGaqExVYrgODK,R_1mygmhObIpIDAhg,R_2coyLEw4CRgumZc,R_xzaBraIsto7E0Rb,R_32PjbocnctE0SJt,R_3e98jjoCKWxz387,R_oY3mYA6ykX2NCLv,R_2S7fpDi2ArVVO4Y,R_2azPtAMlz9152MU,R_2CUh29dNcsq2gqv,R_5i62j3TESkuLS8x,R_Ug8bi9HsOPTFDa1,R_eROZAqRHy9lbqT3,R_1r0Nb9YyJSRjbrj,R_d3Z9P1bioEoxc6R,R_2UYQhQbwq1RrBUK,R_z0i36bUoEAu9TP3,R_24o4tMC8EuA0n1x,R_1jBejsKdN7j1Q00,R_aaey8wxcdDwYpTr,R_2TufKLBP4Ojobzm,R_vou2BCXk3IgQz4J
R_1kHYPQ4eYM6GL57,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3D8eeW4g7GIDcZI,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
R_3JLzIuVlOVexBGt,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
R_1kOcQfsuIMo9k2u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
R_1QykpZxmA0aT3d8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
R_3D60VjC4WTKYczG,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
R_VU7Lb4Fiqa8zGoN,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3r2IXneTMK5n0Ci,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
R_2rQOdbpMke5JZ97,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
R_2WPeMAJGFEzzmgm,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
R_qVmiVRWiX1daU5r,,1.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2cB1mU5QVJoGmLb,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
R_3oBHY6bmh6ZRCQx,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_OIKjhEVOmcbjWq5,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
R_2qCVLHWhdCvDkPY,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sub3,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,
R_syZDasKuSfQMQ4F,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
R_8HrvMsXFeqqdgtj,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
R_2YtBdyWtz1xKRtc,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fV7Jg4bBLqspgB,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_28AHV79JuU0zwUW,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
R_3hg1jtVRAMSrUNi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_10TS06cUjvdUIrF,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2xWXAwQWEf8psQg,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
R_3oZSvR1j3nBNAH8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
R_2WMrQs41Rq862L9,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
R_20TzKuKa7BsZJXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1gSZlAKc7NeeayG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
R_2Sf2wDr21oqMYhv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_294wtVRlj5Vvtkq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2f96xBWeHgak4I5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2PbwYq9uhrRSRwT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_247ydTZ4bAgkLXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3CTad08gKc24Lb6,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3lyjq7rnbqKG0LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1JWIGchZsitsoIY,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sub1,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pEwVDWQkquWmHZ,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
R_1IGjW2meGLxVpNx,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R_OdQJEo237GnCSOt,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
