judge id,R_2fjJcJtgw37COZU,R_3erhyu7B5VGpoy6,R_24H5cvIZWGzWkKq,R_2YDNK7KHevvhgw5,R_1opPT8a3KAn00R1,R_NXBjKhy5XBpJK3n,R_1LHBqoBotwOK2Wm,R_3phDk9LzMpnNoFg,R_D1RTCEB1aQaJAJz,R_1gckYcGVSVA2ux7,R_3HOCkHN2U4E8sTj,R_1dgmDJmVorUGtcj,R_3O1FI6Brt9kzgGf,R_3m9wL3w6O7qfIQX,R_1OlXFynLt03cp6J,R_2y9g4o3BFFKloEW,R_3qSZmoeSpxwWTSh,R_2R8hsrEWhfei5r5,R_DAgZk4NHdSIMS9b,R_3lynYAtYwXFfzom,R_e9Z6B3JY1hw2ekN,R_spznLQvIsWINbxL,R_1LjkQBauyCRGmJb,R_3C32En8QiAZr7uZ,R_1LciRw7hFosUOJD,R_5sZLFtDdxQOucwR,R_u9Wn1htxWOGtbDX,R_1mWw6kCfGXdN1aJ,R_2z8ZBojCJYh9MJ4,R_2y7uE0ZIgha9xdL,R_2YX5zmGuVOkyo31,R_Os4UTbWSvpsM29X,R_1puMTvJRHoTkej6,R_3ME6Io0fRu5Lk3L,R_wWNPIWBPbtd63gB,R_3kiHkfnn5WTDdkI,R_31XFkqoNmBU60Cc,R_10vXXjempR6nZD0,R_3dLzxzNjMPDBo3Z,R_UuwQHFieSzz7Kal,R_1gbHpIeBwIpJ7Ro,R_1rN6i9cjsKZxDxx,R_eyAdxDWfG9d7rMh,R_3Kw6RI5fihFPb51,R_1pSUJmTCKVYFVAp,R_UgUJMv1EVu8aCNH
R_1kHYPQ4eYM6GL57,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
R_3D8eeW4g7GIDcZI,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
R_3JLzIuVlOVexBGt,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
R_1kOcQfsuIMo9k2u,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QykpZxmA0aT3d8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
R_3D60VjC4WTKYczG,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_VU7Lb4Fiqa8zGoN,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
R_3r2IXneTMK5n0Ci,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
R_2rQOdbpMke5JZ97,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
R_2WPeMAJGFEzzmgm,,,,,,,0.0,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_qVmiVRWiX1daU5r,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
R_2cB1mU5QVJoGmLb,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
R_3oBHY6bmh6ZRCQx,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_OIKjhEVOmcbjWq5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
R_2qCVLHWhdCvDkPY,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sub3,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
R_syZDasKuSfQMQ4F,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8HrvMsXFeqqdgtj,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
R_2YtBdyWtz1xKRtc,,,,,,,,,,,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fV7Jg4bBLqspgB,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_28AHV79JuU0zwUW,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
R_3hg1jtVRAMSrUNi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_10TS06cUjvdUIrF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
R_2xWXAwQWEf8psQg,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
R_3oZSvR1j3nBNAH8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
R_2WMrQs41Rq862L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
R_20TzKuKa7BsZJXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1gSZlAKc7NeeayG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Sf2wDr21oqMYhv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_294wtVRlj5Vvtkq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2f96xBWeHgak4I5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2PbwYq9uhrRSRwT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_247ydTZ4bAgkLXO,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3CTad08gKc24Lb6,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
R_3lyjq7rnbqKG0LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1JWIGchZsitsoIY,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
sub1,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pEwVDWQkquWmHZ,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
R_1IGjW2meGLxVpNx,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R_OdQJEo237GnCSOt,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R_1Pcwjkecr8aAIgo,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,
